CoordX,CoordY,Orient,HalfLen,HalfWid
3097.0,757.5,-1.5707963267948966,23.0,7.0
3380.0,869.5,-1.5707963267948966,35.0,5.0
1535.0,968.0,-1.5707963267948966,35.0,14.0
2777.0,1062.0,-1.5707963267948966,34.0,12.0
3097.0,1061.5,-1.5707963267948966,33.0,7.0
3380.0,1070.5,-1.5707963267948966,34.0,5.0
3280.0,1125.0,-3.141592653589793,29.0,7.0
1962.0,1190.5,-1.5707963267948966,36.0,7.0
1726.0,1192.5,-1.5707963267948966,35.0,10.0
2249.5,1205.5,-1.5707963267948966,34.0,6.0
2142.0,1256.0,-3.141592653589793,29.0,7.0
2020.0,1318.0,-3.141592653589793,39.0,7.0
2020.5,1389.5,0.0,37.0,14.0
1293.0,1611.5,-3.141592653589793,34.0,9.0
1960.0,1724.5,-1.5707963267948966,67.0,12.0
1962.5,2119.5,-1.5707963267948966,123.0,9.0
1962.5,2429.0,-1.5707963267948966,127.0,9.0
1290.0,2587.5,0.0,33.0,9.0
