CoordX,CoordY,Orient,HalfLen,HalfWid
565.5,99.5,0.0,24.0,9.0
806.0,391.0,-3.141592653589793,26.0,5.0
715.0,452.5,-1.0818130515940372,25.17187487589186,4.730403284334683
277.5,581.5,0.0,25.0,5.0
930.0,603.5,-1.5707963267948966,23.0,5.0
661.5,661.5,-1.5707963267948966,27.0,4.0
930.0,690.5,-1.5707963267948966,24.0,5.0
236.0,711.5,-3.141592653589793,25.0,5.0
745.5,756.0,0.0,25.0,6.0
860.5,756.0,-3.141592653589793,24.0,6.0
327.5,799.5,-1.5707963267948966,25.0,5.0
864.5,936.5,-3.141592653589793,25.0,9.0
