CoordX,CoordY,Orient,HalfLen,HalfWid
350.5,191.0,-1.5707963267948966,32.0,11.0
882.0,228.5,-1.5707963267948966,30.0,6.0
544.0,245.5,0.0,31.0,11.0
242.0,294.5,-1.5707963267948966,29.0,5.0
483.5,338.0,-1.5707963267948966,29.0,5.0
958.5,443.0,0.0,29.0,6.0
1074.0,443.0,-3.141592653589793,29.0,6.0
1381.0,443.5,0.0,29.0,6.0
881.5,491.0,-1.5707963267948966,27.0,5.0
574.0,590.0,-3.141592653589793,30.0,5.0
1151.5,663.5,-1.5707963267948966,48.0,6.0
1087.5,729.5,-3.141592653589793,29.0,5.0
362.0,822.0,-1.5707963267948966,28.0,5.0
1088.5,849.5,-3.141592653589793,30.0,11.0
216.0,914.5,0.0,127.0,11.0
441.0,914.5,0.0,30.0,11.0
