CoordX,CoordY,Orient,HalfLen,HalfWid
1762.0,244.0,0.0,38.0,7.0
1722.5,413.5,-3.141592653589793,41.0,7.0
1504.0,622.0,-1.5707963267948966,72.0,7.0
1624.5,781.0,0.0,37.0,7.0
1739.0,825.5,-1.5707963267948966,32.0,7.0
1689.0,1056.0,0.0,37.0,7.0
939.0,1069.5,-3.141592653589793,40.0,6.0
885.5,1115.5,-1.5707963267948966,32.0,6.0
941.0,1242.5,-3.141592653589793,41.0,6.0
1107.0,1242.5,0.0,42.0,6.0
1580.0,1294.0,-1.5707963267948966,47.0,7.0
1522.0,1476.0,0.0,47.0,7.0
1519.5,1602.0,0.0,47.0,6.0
