CoordX,CoordY,Orient,HalfLen,HalfWid
942.5,499.5,0.0,38.0,7.0
1044.5,499.5,0.0,38.0,7.0
997.5,554.5,-1.5707963267948966,38.0,7.0
786.5,586.5,-1.5707963267948966,43.0,7.0
361.5,592.5,-1.5707963267948966,41.0,7.0
786.5,703.5,-1.5707963267948966,42.0,7.0
1522.0,720.0,-3.141592653589793,83.0,7.0
1768.0,720.0,-3.141592653589793,34.0,7.0
1886.5,720.0,0.0,33.0,7.0
907.0,834.5,-0.7836565535209654,26.176457763960066,7.732597165998939
1096.0,831.5,-3.141592653589793,34.0,7.0
836.5,856.0,-3.141592653589793,38.0,6.0
833.5,970.5,0.0,38.0,7.0
1074.0,970.5,0.0,40.0,7.0
2117.5,971.0,0.0,43.0,7.0
1128.5,1154.0,-1.5707963267948966,39.0,7.0
