CoordX,CoordY,Orient,HalfLen,HalfWid
2588.5,286.5,-3.141592653589793,33.0,8.0
2861.0,616.0,-3.141592653589793,28.0,8.0
512.5,722.5,-1.5707963267948966,42.0,8.0
2748.0,744.5,-1.5707963267948966,33.0,8.0
2247.0,784.0,-1.5707963267948966,32.0,8.0
1244.0,814.5,-3.141592653589793,35.0,4.0
759.5,834.5,0.0,46.0,8.0
2504.5,843.0,-3.141592653589793,44.0,8.0
1484.5,878.5,-1.5707963267948966,40.0,15.0
140.5,887.5,-1.5707963267948966,26.0,7.0
437.0,889.5,-1.5707963267948966,23.0,8.0
2247.0,895.0,-1.5707963267948966,26.0,8.0
2643.0,922.5,-1.5707963267948966,32.0,8.0
907.5,923.5,-1.5707963267948966,31.0,10.0
1140.5,902.5,0.0,32.0,6.0
1249.5,933.5,0.0,32.0,8.0
2828.5,999.0,-1.5707963267948966,31.0,7.0
2503.0,983.0,-3.141592653589793,42.0,8.0
512.5,1033.0,-1.5707963267948966,43.0,8.0
1021.5,1061.5,-1.5707963267948966,40.0,8.0
904.5,1067.0,-1.5707963267948966,39.0,7.0
1847.5,1042.0,-3.141592653589793,33.0,8.0
2078.0,1042.0,0.0,29.0,8.0
2888.5,1059.0,-3.141592653589793,33.0,8.0
568.0,1092.5,-3.141592653589793,41.0,7.0
946.0,1118.5,0.0,30.0,7.0
1395.5,1116.0,0.0,32.0,5.0
2691.0,1147.5,-3.141592653589793,34.0,7.0
766.5,1178.5,0.0,43.0,7.0
1404.0,1234.0,-3.141592653589793,29.0,7.0
773.0,1300.0,0.0,49.0,13.0
1974.0,1461.0,-3.141592653589793,56.0,16.0
2096.5,1716.5,0.0,30.0,7.0
1862.0,1794.0,-1.5707963267948966,35.0,8.0
1665.0,1798.0,-1.5707963267948966,36.0,16.0
1553.0,1799.0,-1.5707963267948966,32.0,8.0
2180.5,1811.5,-1.5707963267948966,43.0,15.0
2552.0,1808.5,-1.5707963267948966,35.0,4.0
1369.0,1962.5,0.0,37.0,7.0
1418.5,2012.5,-1.5707963267948966,35.0,7.0
2094.0,2012.5,-3.141592653589793,34.0,7.0
2529.5,2194.0,0.0,43.0,9.0
2061.5,2316.0,-1.5707963267948966,34.0,12.0
2459.5,2320.0,0.0,34.0,8.0
1661.5,2432.0,-1.5707963267948966,41.0,7.0
1661.5,2575.5,-1.5707963267948966,35.0,7.0
2185.0,2581.5,-1.5707963267948966,39.0,8.0
