CoordX,CoordY,Orient,HalfLen,HalfWid
254.0,155.0,-1.5707963267948966,32.0,12.0
1480.0,161.0,-1.5707963267948966,33.0,11.0
922.0,163.0,-1.5707963267948966,32.0,5.0
814.0,209.0,0.0,32.0,5.0
1283.5,209.0,0.0,32.0,5.0
1405.5,209.0,0.0,31.0,5.0
1601.0,209.0,0.0,31.0,5.0
1774.0,255.5,-2.357309616426269,32.53319981613752,5.620579127035726
811.5,348.0,0.0,32.0,5.0
965.0,348.0,0.0,32.0,5.0
1480.0,440.0,-1.5707963267948966,36.0,11.0
735.5,509.0,-3.141592653589793,36.0,5.0
991.0,509.0,0.0,36.0,5.0
1262.5,509.0,-3.141592653589793,36.0,5.0
1631.0,513.0,0.0,35.0,5.0
2012.0,513.0,0.0,113.0,5.0
