CoordX,CoordY,Orient,HalfLen,HalfWid
145.5,168.5,-3.141592653589793,34.0,7.0
486.5,168.5,-3.141592653589793,37.0,7.0
1128.5,170.5,-3.141592653589793,34.0,7.0
486.0,511.5,-3.141592653589793,33.0,7.0
330.5,607.5,-3.141592653589793,31.0,7.0
192.5,650.0,-1.5707963267948966,33.0,7.0
406.5,651.5,-1.5707963267948966,32.0,7.0
957.5,719.0,-1.5707963267948966,28.0,7.0
891.0,763.5,-3.141592653589793,33.0,7.0
361.5,851.5,0.0,33.0,7.0
417.0,900.0,-1.5707963267948966,31.0,7.0
761.0,988.5,0.0,42.0,7.0
768.5,1064.5,-3.141592653589793,42.0,7.0
