CoordX,CoordY,Orient,HalfLen,HalfWid
1077.0,379.0,0.0,40.0,16.0
612.5,566.5,-3.141592653589793,39.0,5.0
491.0,648.0,-1.5707963267948966,39.0,6.0
1240.0,678.5,-1.5707963267948966,40.0,6.0
1531.5,729.0,0.0,34.0,6.0
1531.0,829.0,0.0,34.0,6.0
1431.0,869.0,-1.5707963267948966,29.0,13.0
491.0,906.5,-1.5707963267948966,40.0,6.0
1574.5,1017.5,-3.141592653589793,33.0,5.0
1240.0,1071.5,-1.5707963267948966,39.0,6.0
1655.0,1072.0,-1.5707963267948966,39.0,16.0
575.0,1205.5,-3.141592653589793,46.0,15.0
574.5,1421.0,0.0,45.0,14.0
