CoordX,CoordY,Orient,HalfLen,HalfWid
2016.5,628.0,-3.141592653589793,45.0,20.0
1410.5,632.0,-3.141592653589793,43.0,20.0
1172.5,1034.5,-3.141592653589793,46.0,6.0
1227.5,1089.5,-1.5707963267948966,45.0,6.0
1116.5,1155.5,-1.5707963267948966,41.0,6.0
992.0,1161.0,-1.5707963267948966,46.0,20.0
1368.0,1337.5,-3.141592653589793,45.0,6.0
1116.5,1372.5,-1.5707963267948966,40.0,6.0
1227.5,1468.5,-1.5707963267948966,45.0,6.0
1833.5,1492.0,-1.5707963267948966,47.0,6.0
1779.0,1553.5,0.0,46.0,6.0
1362.0,1698.5,-3.141592653589793,44.0,2.0
1991.5,1904.0,0.0,45.0,21.0
1171.5,1905.0,-3.141592653589793,49.0,20.0
