CoordX,CoordY,Orient,HalfLen,HalfWid
484.0,366.0,0.0,46.0,16.0
390.5,636.0,-1.5707963267948966,43.0,7.0
390.5,950.0,-1.5707963267948966,43.0,7.0
390.5,1100.0,-1.5707963267948966,42.0,7.0
135.0,1156.0,-3.141592653589793,42.0,6.0
390.5,1214.0,-1.5707963267948966,43.0,7.0
777.0,1261.5,-1.5707963267948966,39.0,6.0
541.0,1268.0,-1.5707963267948966,42.0,6.0
826.5,1361.0,-3.141592653589793,38.0,6.0
468.5,1531.0,-3.141592653589793,51.0,16.0
658.5,1531.0,0.0,43.0,16.0
390.5,1641.0,-1.5707963267948966,43.0,7.0
